case;event;time
3;Completed-Closed;11.05.2012-23:21:30
4;Accepted-In Progress;07.03.2011-09:42:08
4;Accepted-In Progress;07.03.2011-09:44:43
4;Accepted-In Progress;07.03.2011-09:51:59
4;Queued-Awaiting Assignment;07.03.2011-09:52:51
4;Accepted-In Progress;07.03.2011-10:48:31
4;Queued-Awaiting Assignment;07.03.2011-10:55:20
4;Accepted-In Progress;07.03.2011-11:03:37
4;Accepted-Wait - User;07.03.2011-11:04:35
4;Accepted-In Progress;07.03.2011-12:22:56
4;Queued-Awaiting Assignment;07.03.2011-12:24:38
4;Accepted-In Progress;07.03.2011-13:13:15
4;Queued-Awaiting Assignment;07.03.2011-13:13:58
4;Accepted-In Progress;08.03.2011-05:53:06
4;Queued-Awaiting Assignment;08.03.2011-05:55:54
4;Accepted-In Progress;08.03.2011-08:16:24
4;Queued-Awaiting Assignment;08.03.2011-08:18:18
4;Accepted-In Progress;08.03.2011-08:20:32
4;Accepted-Wait - User;08.03.2011-08:22:46
4;Accepted-In Progress;09.03.2011-06:16:14
4;Queued-Awaiting Assignment;09.03.2011-06:17:16
4;Accepted-In Progress;09.03.2011-16:03:41
4;Queued-Awaiting Assignment;09.03.2011-16:05:12
4;Accepted-In Progress;10.03.2011-11:29:05
4;Accepted-Wait - User;10.03.2011-11:47:33
4;Accepted-In Progress;14.03.2011-09:19:53
4;Accepted-Assigned;14.03.2011-09:28:30
4;Accepted-In Progress;14.03.2011-09:28:35
4;Queued-Awaiting Assignment;14.03.2011-09:29:13
4;Accepted-In Progress;14.03.2011-09:30:27
4;Queued-Awaiting Assignment;14.03.2011-09:37:19
4;Accepted-In Progress;15.03.2011-09:41:17
4;Queued-Awaiting Assignment;15.03.2011-09:53:36
4;Accepted-In Progress;15.03.2011-10:00:18
4;Queued-Awaiting Assignment;15.03.2011-10:12:52
4;Accepted-In Progress;15.03.2011-10:21:49
4;Queued-Awaiting Assignment;15.03.2011-10:23:58
4;Accepted-In Progress;15.03.2011-10:27:28
4;Accepted-Wait - User;15.03.2011-10:33:30
4;Accepted-In Progress;15.03.2011-11:38:16
4;Accepted-Wait - User;15.03.2011-13:39:01
4;Accepted-In Progress;23.03.2011-09:13:28
4;Accepted-In Progress;23.03.2011-09:13:29
4;Accepted-Wait - User;23.03.2011-09:17:21
4;Accepted-In Progress;24.03.2011-09:12:18
4;Queued-Awaiting Assignment;24.03.2011-09:13:25
4;Accepted-In Progress;24.03.2011-12:20:10
4;Queued-Awaiting Assignment;24.03.2011-12:20:46
4;Accepted-In Progress;24.03.2011-16:50:30
4;Queued-Awaiting Assignment;24.03.2011-16:54:55
4;Accepted-In Progress;04.05.2011-16:36:03
4;Queued-Awaiting Assignment;23.05.2011-12:52:07
4;Accepted-In Progress;24.05.2011-13:02:14
4;Accepted-Wait - User;24.05.2011-15:16:36
4;Accepted-In Progress;25.05.2011-14:25:09
4;Accepted-In Progress;26.05.2011-12:52:07
4;Accepted-Wait - User;26.05.2011-14:20:06
4;Accepted-In Progress;26.05.2011-14:21:36
4;Queued-Awaiting Assignment;26.05.2011-14:21:59
4;Accepted-In Progress;20.07.2011-13:55:42
4;Accepted-In Progress;04.05.2012-07:00:07
4;Completed-Resolved;04.05.2012-07:01:21
4;Completed-Closed;11.05.2012-23:21:30
5;Accepted-In Progress;04.04.2011-14:51:24
5;Accepted-In Progress;04.04.2011-14:52:15
5;Queued-Awaiting Assignment;04.04.2011-14:58:11
5;Accepted-In Progress;04.04.2011-15:11:27
5;Accepted-Assigned;04.04.2011-15:11:37
5;Accepted-In Progress;04.04.2011-15:18:04
5;Accepted-Wait - User;04.04.2011-15:24:46
5;Completed-Resolved;08.04.2011-09:42:53
5;Accepted-Assigned;11.04.2011-16:53:52
5;Accepted-In Progress;11.04.2011-16:56:47
5;Queued-Awaiting Assignment;11.04.2011-16:57:06
5;Accepted-In Progress;12.04.2011-06:21:26
5;Accepted-Assigned;12.04.2011-06:22:36
5;Accepted-In Progress;12.04.2011-07:12:13
5;Accepted-Wait - User;12.04.2011-07:12:19
5;Accepted-In Progress;31.05.2011-08:39:43
5;Accepted-Wait - User;31.05.2011-08:39:48
5;Accepted-Assigned;28.10.2011-13:22:35
5;Accepted-In Progress;31.10.2011-07:06:01
5;Accepted-Wait - User;31.10.2011-07:06:05
5;Accepted-Assigned;09.12.2011-10:24:12
5;Accepted-In Progress;09.12.2011-14:00:24
5;Accepted-Wait - User;09.12.2011-14:00:29
5;Accepted-In Progress;12.03.2012-09:03:11
5;Accepted-Wait - User;12.03.2012-09:03:15
5;Accepted-Assigned;19.03.2012-12:15:59
5;Accepted-In Progress;19.03.2012-13:21:01
5;Accepted-Assigned;19.03.2012-13:23:52
5;Accepted-In Progress;20.03.2012-08:32:27
5;Accepted-Wait - User;20.03.2012-08:32:53
5;Completed-Resolved;02.05.2012-14:01:42
5;Completed-Closed;09.05.2012-23:20:47
6;Accepted-In Progress;13.04.2011-14:04:32
6;Accepted-In Progress;13.04.2011-14:05:38
6;Queued-Awaiting Assignment;13.04.2011-14:12:39
6;Accepted-In Progress;19.04.2011-12:23:12
6;Queued-Awaiting Assignment;19.04.2011-12:27:05
6;Accepted-In Progress;19.04.2011-12:57:53
6;Accepted-Wait - User;19.04.2011-13:01:16
6;Accepted-In Progress;22.04.2011-09:29:18
6;Accepted-Wait - User;22.04.2011-09:30:27
6;Accepted-In Progress;27.04.2011-16:38:48
6;Queued-Awaiting Assignment;27.04.2011-16:42:38
6;Accepted-In Progress;28.04.2011-09:06:05
6;Queued-Awaiting Assignment;28.04.2011-09:07:04
6;Accepted-In Progress;28.04.2011-10:02:04
6;Queued-Awaiting Assignment;28.04.2011-10:08:04
6;Accepted-In Progress;11.05.2011-13:31:55
6;Queued-Awaiting Assignment;27.07.2011-12:28:46
6;Accepted-In Progress;16.08.2011-15:42:06
6;Accepted-In Progress;04.05.2012-07:01:57
6;Completed-Resolved;04.05.2012-07:02:52
6;Completed-Closed;11.05.2012-23:21:30
7;Accepted-In Progress;03.05.2011-07:42:21
7;Accepted-In Progress;03.05.2011-07:42:31
7;Queued-Awaiting Assignment;03.05.2011-07:46:47
7;Accepted-In Progress;03.05.2011-08:44:47
7;Queued-Awaiting Assignment;03.05.2011-08:45:41
7;Accepted-In Progress;03.05.2011-10:05:52
7;Accepted-Assigned;03.05.2011-10:05:57
7;Accepted-In Progress;03.05.2011-11:20:46
7;Queued-Awaiting Assignment;03.05.2011-11:24:45
7;Accepted-In Progress;11.05.2011-13:39:42
7;Accepted-Wait - Implementation;04.04.2012-13:56:22
7;Accepted-In Progress;04.05.2012-07:03:26
7;Completed-Resolved;04.05.2012-07:06:01
7;Completed-Closed;11.05.2012-23:21:29
8;Accepted-In Progress;05.05.2011-13:47:54
8;Accepted-In Progress;05.05.2011-13:48:38
8;Accepted-Wait - Vendor;05.05.2011-14:01:23
8;Accepted-In Progress;05.05.2011-17:21:53
8;Accepted-Wait - User;09.08.2011-18:34:05
8;Accepted-In Progress;07.03.2012-14:26:40
8;Completed-Resolved;03.05.2012-12:49:21
8;Completed-Closed;03.05.2012-23:21:11
9;Accepted-In Progress;26.05.2011-13:57:29
9;Accepted-In Progress;26.05.2011-13:57:50
9;Queued-Awaiting Assignment;26.05.2011-14:07:31
9;Accepted-In Progress;30.05.2011-10:44:09
9;Queued-Awaiting Assignment;30.05.2011-10:46:01
9;Accepted-In Progress;30.05.2011-11:47:27
9;Accepted-Wait - User;30.05.2011-11:49:28
9;Accepted-In Progress;31.05.2011-05:30:30
9;Queued-Awaiting Assignment;31.05.2011-05:31:53
9;Accepted-In Progress;31.05.2011-08:02:29
9;Queued-Awaiting Assignment;31.05.2011-08:15:32
9;Accepted-In Progress;31.05.2011-08:16:56
9;Queued-Awaiting Assignment;31.05.2011-08:21:50
9;Accepted-In Progress;06.07.2011-14:51:06
9;Accepted-Assigned;06.07.2011-14:51:08
9;Accepted-In Progress;20.07.2011-12:39:07
9;Accepted-In Progress;04.05.2012-07:20:17
9;Completed-Resolved;04.05.2012-07:21:09
9;Completed-Closed;11.05.2012-23:21:29
10;Accepted-In Progress;26.05.2011-16:01:53
10;Accepted-In Progress;26.05.2011-16:02:23
10;Queued-Awaiting Assignment;26.05.2011-16:10:38
10;Accepted-In Progress;30.05.2011-10:46:17
10;Queued-Awaiting Assignment;30.05.2011-10:48:32
10;Accepted-In Progress;30.05.2011-10:52:42
10;Accepted-Wait - User;30.05.2011-10:57:50
10;Accepted-In Progress;31.05.2011-12:01:27
10;Queued-Awaiting Assignment;31.05.2011-12:03:30
10;Accepted-In Progress;01.06.2011-07:52:10
10;Accepted-Assigned;01.06.2011-07:52:25
10;Accepted-In Progress;01.06.2011-09:36:51
10;Queued-Awaiting Assignment;01.06.2011-09:37:06
10;Accepted-In Progress;01.06.2011-09:38:08
10;Accepted-Wait - User;01.06.2011-09:41:39
10;Accepted-In Progress;01.06.2011-10:09:35
10;Accepted-Wait - User;01.06.2011-10:11:02
10;Accepted-In Progress;01.06.2011-10:11:09
10;Queued-Awaiting Assignment;01.06.2011-10:11:26
10;Accepted-In Progress;01.06.2011-11:07:38
10;Accepted-Assigned;01.06.2011-11:07:50
10;Accepted-In Progress;11.07.2011-09:36:40
10;Queued-Awaiting Assignment;11.07.2011-09:58:50
10;Accepted-In Progress;11.07.2011-10:06:14
10;Accepted-Assigned;11.07.2011-10:06:18
10;Accepted-In Progress;11.07.2011-10:14:25
10;Accepted-Wait - User;11.07.2011-10:21:28
10;Accepted-Wait - User;14.07.2011-09:58:50
10;Accepted-Wait - User;15.07.2011-08:22:05
10;Accepted-Wait - User;18.07.2011-08:22:10
10;Accepted-In Progress;25.07.2011-12:43:58
10;Accepted-Wait;25.07.2011-12:44:03
10;Accepted-In Progress;31.08.2011-09:39:40
10;Queued-Awaiting Assignment;31.08.2011-09:41:40
10;Accepted-In Progress;31.08.2011-12:39:45
10;Queued-Awaiting Assignment;31.08.2011-12:40:02
10;Accepted-In Progress;31.08.2011-12:42:35
10;Queued-Awaiting Assignment;31.08.2011-12:51:27
10;Accepted-In Progress;31.08.2011-14:30:39
10;Queued-Awaiting Assignment;31.08.2011-14:30:52
10;Accepted-In Progress;31.08.2011-14:35:34
10;Accepted-Wait - User;31.08.2011-14:38:36
10;Accepted-In Progress;31.08.2011-14:49:06
10;Queued-Awaiting Assignment;31.08.2011-14:50:41
10;Accepted-In Progress;31.08.2011-15:41:51
10;Queued-Awaiting Assignment;31.08.2011-15:43:59
10;Accepted-In Progress;31.08.2011-15:46:46
10;Queued-Awaiting Assignment;31.08.2011-15:49:16
10;Accepted-In Progress;16.09.2011-16:00:17
10;Accepted-In Progress;04.05.2012-07:24:21
10;Completed-Resolved;04.05.2012-07:25:13
10;Completed-Closed;11.05.2012-23:21:29
11;Accepted-In Progress;01.06.2011-07:55:53
11;Accepted-In Progress;01.06.2011-07:58:17
11;Queued-Awaiting Assignment;01.06.2011-08:02:37
11;Accepted-In Progress;06.06.2011-12:51:13
11;Queued-Awaiting Assignment;06.06.2011-13:21:04
11;Accepted-In Progress;07.06.2011-12:04:41
11;Accepted-Wait - User;07.06.2011-12:08:14
11;Accepted-Wait - User;09.06.2011-13:21:05
11;Accepted-In Progress;10.06.2011-09:19:23
11;Queued-Awaiting Assignment;10.06.2011-09:21:07
11;Accepted-In Progress;14.06.2011-10:36:29
11;Queued-Awaiting Assignment;14.06.2011-14:06:36
11;Accepted-In Progress;15.06.2011-09:14:27
11;Accepted-Wait - User;15.06.2011-09:25:57
11;Accepted-In Progress;15.06.2011-12:55:06
11;Queued-Awaiting Assignment;15.06.2011-12:57:08
11;Accepted-In Progress;16.06.2011-09:43:41
11;Accepted-Assigned;16.06.2011-09:44:53
11;Accepted-In Progress;22.06.2011-15:38:39
11;Queued-Awaiting Assignment;22.06.2011-15:39:48
11;Accepted-In Progress;22.06.2011-16:22:56
11;Queued-Awaiting Assignment;22.06.2011-16:26:25
11;Accepted-In Progress;06.07.2011-14:48:02
11;Accepted-Assigned;06.07.2011-14:48:05
11;Accepted-In Progress;20.07.2011-12:34:41
11;Completed-Resolved;06.04.2012-09:12:33
11;Accepted-In Progress;06.04.2012-09:13:09
11;Accepted-Wait;06.04.2012-09:13:14
11;Accepted-In Progress;04.05.2012-07:25:45
11;Completed-Resolved;04.05.2012-07:26:18
11;Completed-Closed;11.05.2012-23:21:29
12;Accepted-In Progress;02.06.2011-07:22:45
12;Accepted-In Progress;02.06.2011-07:23:13
12;Queued-Awaiting Assignment;02.06.2011-07:36:23
12;Accepted-In Progress;06.06.2011-11:16:57
12;Queued-Awaiting Assignment;06.06.2011-11:17:50
12;Accepted-In Progress;06.06.2011-12:06:29
12;Queued-Awaiting Assignment;06.06.2011-12:08:54
12;Accepted-In Progress;06.07.2011-14:47:36
12;Accepted-Assigned;06.07.2011-14:47:39
12;Accepted-In Progress;20.07.2011-12:31:33
12;Queued-Awaiting Assignment;19.04.2012-16:05:54
12;Accepted-In Progress;04.05.2012-07:26:59
12;Completed-Resolved;04.05.2012-07:27:21
12;Completed-Closed;11.05.2012-23:21:29
13;Accepted-In Progress;02.06.2011-15:17:44
13;Accepted-In Progress;02.06.2011-15:24:37
13;Queued-Awaiting Assignment;02.06.2011-15:28:48
13;Accepted-In Progress;06.06.2011-10:54:51
13;Queued-Awaiting Assignment;06.06.2011-10:57:46
13;Accepted-In Progress;06.06.2011-11:23:05
13;Accepted-Wait - User;06.06.2011-11:25:31
13;Queued-Awaiting Assignment;07.06.2011-14:31:26
13;Queued-Awaiting Assignment;07.06.2011-14:31:27
13;Accepted-In Progress;07.06.2011-17:40:40
13;Accepted-Wait;07.06.2011-17:40:42
13;Accepted-In Progress;06.07.2011-14:45:09
13;Completed-Resolved;06.07.2011-14:45:50
13;Queued-Awaiting Assignment;06.07.2011-16:35:36
13;Accepted-In Progress;06.07.2011-16:51:44
13;Queued-Awaiting Assignment;06.07.2011-16:53:49
13;Accepted-In Progress;06.07.2011-16:53:53
13;Queued-Awaiting Assignment;06.07.2011-16:54:21
13;Accepted-In Progress;07.07.2011-07:54:32
13;Accepted-Assigned;07.07.2011-08:12:26
13;Accepted-In Progress;07.07.2011-13:25:52
13;Queued-Awaiting Assignment;07.07.2011-13:25:59
13;Accepted-In Progress;07.07.2011-13:26:47
13;Accepted-Assigned;07.07.2011-13:27:57
13;Accepted-In Progress;07.07.2011-14:49:37
13;Accepted-Wait - User;07.07.2011-14:58:09
13;Queued-Awaiting Assignment;08.07.2011-11:31:55
13;Accepted-In Progress;08.07.2011-12:16:14
13;Queued-Awaiting Assignment;08.07.2011-12:17:18
13;Accepted-In Progress;08.07.2011-12:17:21
13;Accepted-Assigned;08.07.2011-12:17:25
13;Accepted-In Progress;11.07.2011-09:55:00
13;Queued-Awaiting Assignment;11.07.2011-12:32:37
13;Accepted-In Progress;11.07.2011-12:41:23
13;Accepted-Assigned;11.07.2011-12:43:21
13;Accepted-Assigned;14.07.2011-12:32:37
13;Accepted-In Progress;18.07.2011-15:01:05
13;Queued-Awaiting Assignment;18.07.2011-15:01:42
13;Accepted-In Progress;16.08.2011-15:33:46
13;Accepted-Wait;06.04.2012-09:18:12
13;Accepted-In Progress;04.05.2012-07:27:48
13;Completed-Resolved;04.05.2012-07:28:43
13;Completed-Closed;11.05.2012-23:21:28
14;Accepted-In Progress;08.06.2011-12:58:15
14;Accepted-In Progress;08.06.2011-12:58:20
14;Queued-Awaiting Assignment;08.06.2011-13:02:01
14;Accepted-In Progress;08.06.2011-15:20:33
14;Queued-Awaiting Assignment;08.06.2011-15:21:14
14;Accepted-In Progress;08.06.2011-15:55:56
14;Queued-Awaiting Assignment;09.06.2011-08:34:50
14;Accepted-In Progress;09.06.2011-10:19:26
14;Accepted-Wait - User;09.06.2011-10:21:37
14;Queued-Awaiting Assignment;09.06.2011-16:54:41
14;Accepted-In Progress;10.06.2011-14:16:38
14;Queued-Awaiting Assignment;10.06.2011-14:29:07
14;Accepted-In Progress;10.06.2011-14:29:59
14;Queued-Awaiting Assignment;10.06.2011-14:31:48
14;Accepted-In Progress;06.07.2011-14:45:53
14;Accepted-Assigned;06.07.2011-14:45:56
14;Accepted-In Progress;20.07.2011-12:30:13
14;Accepted-Wait;06.04.2012-09:09:19
14;Accepted-In Progress;04.05.2012-07:29:15
14;Completed-Resolved;04.05.2012-07:30:26
14;Completed-Closed;11.05.2012-23:21:28
15;Accepted-In Progress;24.06.2011-12:23:13
15;Accepted-In Progress;24.06.2011-12:23:15
15;Queued-Awaiting Assignment;24.06.2011-12:25:58
15;Accepted-In Progress;24.06.2011-12:46:34
15;Queued-Awaiting Assignment;24.06.2011-13:37:42
15;Accepted-In Progress;24.06.2011-14:08:11
15;Queued-Awaiting Assignment;24.06.2011-14:10:52
15;Accepted-In Progress;06.07.2011-14:40:51
15;Accepted-Assigned;06.07.2011-14:40:55
15;Accepted-In Progress;20.07.2011-12:23:24
15;Accepted-Wait;06.04.2012-09:20:07
15;Accepted-In Progress;04.05.2012-07:31:16
15;Completed-Resolved;04.05.2012-07:31:48
15;Completed-Closed;11.05.2012-23:21:28
16;Accepted-In Progress;24.06.2011-13:58:54
16;Accepted-In Progress;24.06.2011-13:58:56
16;Queued-Awaiting Assignment;24.06.2011-14:02:31
16;Accepted-In Progress;24.06.2011-14:42:25
16;Queued-Awaiting Assignment;27.06.2011-08:34:41
16;Accepted-In Progress;27.06.2011-08:41:23
16;Accepted-Wait - User;27.06.2011-08:45:13
16;Accepted-In Progress;27.06.2011-08:48:50
16;Queued-Awaiting Assignment;27.06.2011-09:05:48
16;Accepted-In Progress;27.06.2011-10:24:37
16;Queued-Awaiting Assignment;27.06.2011-10:32:59
16;Accepted-In Progress;27.06.2011-10:54:24
16;Queued-Awaiting Assignment;27.06.2011-10:59:32
16;Accepted-In Progress;06.07.2011-14:39:12
16;Accepted-Assigned;06.07.2011-14:39:30
16;Accepted-In Progress;20.07.2011-13:53:58
16;Accepted-Wait;06.04.2012-09:14:17
16;Accepted-In Progress;04.05.2012-07:32:16
16;Completed-Resolved;04.05.2012-07:32:47
16;Completed-Closed;11.05.2012-23:21:28
17;Accepted-In Progress;28.06.2011-10:35:39
17;Accepted-In Progress;28.06.2011-10:35:57
17;Queued-Awaiting Assignment;28.06.2011-10:50:20
17;Accepted-In Progress;28.06.2011-10:58:24
17;Queued-Awaiting Assignment;28.06.2011-10:59:36
17;Accepted-In Progress;28.06.2011-16:45:50
17;Queued-Awaiting Assignment;28.06.2011-16:46:58
17;Accepted-In Progress;29.06.2011-08:47:40
17;Queued-Awaiting Assignment;29.06.2011-08:48:21
17;Accepted-In Progress;29.06.2011-08:51:19
17;Accepted-In Progress;02.07.2011-08:48:21
17;Queued-Awaiting Assignment;20.09.2011-15:27:24
17;Accepted-In Progress;18.04.2012-14:25:03
17;Queued-Awaiting Assignment;18.04.2012-14:26:29
17;Accepted-In Progress;02.05.2012-13:34:18
17;Queued-Awaiting Assignment;02.05.2012-13:35:45
17;Accepted-In Progress;04.05.2012-10:46:38
17;Completed-Resolved;04.05.2012-10:46:58
17;Completed-Closed;11.05.2012-23:21:28
18;Accepted-In Progress;11.07.2011-07:20:50
18;Accepted-In Progress;11.07.2011-07:20:55
18;Queued-Awaiting Assignment;11.07.2011-07:28:43
18;Accepted-In Progress;11.07.2011-07:28:45
18;Accepted-Wait;11.07.2011-07:28:47
18;Queued-Awaiting Assignment;11.07.2011-11:34:18
18;Accepted-In Progress;11.07.2011-13:18:29
18;Queued-Awaiting Assignment;11.07.2011-13:28:02
18;Accepted-In Progress;11.07.2011-13:35:23
18;Queued-Awaiting Assignment;11.07.2011-13:37:42
18;Accepted-In Progress;20.07.2011-12:47:48
18;Accepted-In Progress;04.05.2012-07:33:21
18;Completed-Resolved;04.05.2012-07:34:16
18;Completed-Closed;11.05.2012-23:21:27
19;Accepted-In Progress;14.07.2011-17:20:42
19;Accepted-In Progress;14.07.2011-17:20:49
19;Queued-Awaiting Assignment;14.07.2011-17:22:51
19;Accepted-In Progress;15.07.2011-07:43:36
19;Queued-Awaiting Assignment;15.07.2011-08:02:31
19;Accepted-In Progress;15.07.2011-08:52:29
19;Queued-Awaiting Assignment;15.07.2011-08:56:59
19;Accepted-In Progress;20.07.2011-13:50:38
19;Accepted-Wait - Implementation;14.03.2012-15:29:41
19;Accepted-In Progress;04.05.2012-07:34:46
19;Completed-Resolved;04.05.2012-07:35:37
19;Completed-Closed;11.05.2012-23:21:27
20;Accepted-In Progress;25.07.2011-13:45:15
20;Accepted-In Progress;25.07.2011-13:45:29
20;Queued-Awaiting Assignment;25.07.2011-13:50:11
20;Accepted-In Progress;25.07.2011-14:28:03
20;Queued-Awaiting Assignment;25.07.2011-14:34:15
20;Accepted-In Progress;25.07.2011-14:50:14
20;Accepted-Wait - User;25.07.2011-14:52:35
20;Accepted-In Progress;25.07.2011-14:57:23
20;Queued-Awaiting Assignment;25.07.2011-14:58:34
20;Accepted-In Progress;25.07.2011-15:55:44
20;Queued-Awaiting Assignment;25.07.2011-16:02:17
20;Queued-Awaiting Assignment;25.07.2011-16:02:18
20;Accepted-In Progress;25.07.2011-16:03:41
20;Queued-Awaiting Assignment;25.07.2011-16:05:51
20;Accepted-In Progress;26.07.2011-11:03:30
20;Queued-Awaiting Assignment;26.07.2011-13:54:14
20;Accepted-In Progress;26.07.2011-13:55:06
20;Queued-Awaiting Assignment;26.07.2011-13:59:46
20;Accepted-In Progress;16.08.2011-15:37:40
20;Accepted-Wait;06.04.2012-09:19:00
20;Accepted-In Progress;04.05.2012-07:36:08
20;Completed-Resolved;04.05.2012-07:36:32
20;Completed-Closed;11.05.2012-23:21:27
21;Accepted-In Progress;28.07.2011-09:12:37
21;Accepted-In Progress;28.07.2011-09:16:47
21;Queued-Awaiting Assignment;28.07.2011-09:21:15
21;Accepted-In Progress;08.05.2012-07:52:10
21;Completed-Resolved;08.05.2012-07:52:48
21;Completed-Closed;15.05.2012-23:22:58
22;Accepted-In Progress;03.08.2011-12:17:22
22;Accepted-In Progress;03.08.2011-12:17:49
22;Queued-Awaiting Assignment;03.08.2011-12:24:10
22;Accepted-In Progress;04.08.2011-11:02:25
22;Queued-Awaiting Assignment;04.08.2011-12:55:28
22;Queued-Awaiting Assignment;04.08.2011-12:55:29
22;Accepted-In Progress;04.08.2011-15:05:00
22;Accepted-Assigned;04.08.2011-15:05:04
22;Accepted-In Progress;05.08.2011-05:36:03
22;Queued-Awaiting Assignment;05.08.2011-05:38:54
22;Accepted-In Progress;16.08.2011-15:43:52
22;Accepted-Wait - Implementation;14.03.2012-15:45:08
22;Accepted-In Progress;04.05.2012-07:38:40
22;Completed-Resolved;04.05.2012-07:39:19
22;Completed-Closed;11.05.2012-23:21:27
23;Accepted-In Progress;03.08.2011-11:29:56
23;Accepted-In Progress;03.08.2011-11:31:12
23;Queued-Awaiting Assignment;03.08.2011-11:41:04
23;Accepted-In Progress;04.08.2011-10:55:05
23;Queued-Awaiting Assignment;04.08.2011-12:56:55
