case_id;activity;time;resource
4;Queued-Awaiting Assignment;15.03.2011-10:12:52;Olga
4;Accepted-In Progress;15.03.2011-10:21:49;Luc
4;Queued-Awaiting Assignment;15.03.2011-10:23:58;Luc
4;Accepted-In Progress;15.03.2011-10:27:28;Olga
4;Accepted-Wait - User;15.03.2011-10:33:30;Olga
4;Accepted-In Progress;15.03.2011-11:38:16;Olga
4;Accepted-Wait - User;15.03.2011-13:39:01;Olga
4;Accepted-In Progress;23.03.2011-09:13:28;Olga
4;Accepted-In Progress;23.03.2011-09:13:29;Olga
4;Accepted-Wait - User;23.03.2011-09:17:21;Olga
4;Accepted-In Progress;24.03.2011-09:12:18;Olga
4;Queued-Awaiting Assignment;24.03.2011-09:13:25;Olga
4;Accepted-In Progress;24.03.2011-12:20:10;Luc
4;Queued-Awaiting Assignment;24.03.2011-12:20:46;Luc
4;Accepted-In Progress;24.03.2011-16:50:30;Olga
4;Queued-Awaiting Assignment;24.03.2011-16:54:55;Olga
4;Accepted-In Progress;04.05.2011-16:36:03;Earl
4;Queued-Awaiting Assignment;23.05.2011-12:52:07;Earl
4;Accepted-In Progress;24.05.2011-13:02:14;Olga
4;Accepted-Wait - User;24.05.2011-15:16:36;Olga
4;Accepted-In Progress;25.05.2011-14:25:09;Olga
4;Accepted-In Progress;26.05.2011-12:52:07;Siebel
4;Accepted-Wait - User;26.05.2011-14:20:06;Olga
4;Accepted-In Progress;26.05.2011-14:21:36;Olga
4;Queued-Awaiting Assignment;26.05.2011-14:21:59;Olga
4;Accepted-In Progress;20.07.2011-13:55:42;Earl
4;Accepted-In Progress;04.05.2012-07:00:07;Juan
4;Completed-Resolved;04.05.2012-07:01:21;Juan
4;Completed-Closed;11.05.2012-23:21:30;Siebel
5;Accepted-In Progress;04.04.2011-14:51:24;Marcus
5;Accepted-In Progress;04.04.2011-14:52:15;Marcus
5;Queued-Awaiting Assignment;04.04.2011-14:58:11;Marcus
5;Accepted-In Progress;04.04.2011-15:11:27;Sandra
5;Accepted-Assigned;04.04.2011-15:11:37;Sandra
5;Accepted-In Progress;04.04.2011-15:18:04;Daniel
5;Accepted-Wait - User;04.04.2011-15:24:46;Daniel
5;Completed-Resolved;08.04.2011-09:42:53;Daniel
5;Accepted-Assigned;11.04.2011-16:53:52;Simon
5;Accepted-In Progress;11.04.2011-16:56:47;Simon
5;Queued-Awaiting Assignment;11.04.2011-16:57:06;Simon
5;Accepted-In Progress;12.04.2011-06:21:26;Marie
5;Accepted-Assigned;12.04.2011-06:22:36;Marie
5;Accepted-In Progress;12.04.2011-07:12:13;Daniel
5;Accepted-Wait - User;12.04.2011-07:12:19;Daniel
5;Accepted-In Progress;31.05.2011-08:39:43;Sandra
5;Accepted-Wait - User;31.05.2011-08:39:48;Sandra
5;Accepted-Assigned;28.10.2011-13:22:35;Sandra
5;Accepted-In Progress;31.10.2011-07:06:01;Björn
5;Accepted-Wait - User;31.10.2011-07:06:05;Björn
5;Accepted-Assigned;09.12.2011-10:24:12;Björn
5;Accepted-In Progress;09.12.2011-14:00:24;Mats
5;Accepted-Wait - User;09.12.2011-14:00:29;Mats
5;Accepted-In Progress;12.03.2012-09:03:11;Per
5;Accepted-Wait - User;12.03.2012-09:03:15;Per
5;Accepted-Assigned;19.03.2012-12:15:59;Per
5;Accepted-In Progress;19.03.2012-13:21:01;Björn
5;Accepted-Assigned;19.03.2012-13:23:52;Björn
5;Accepted-In Progress;20.03.2012-08:32:27;Mats
5;Accepted-Wait - User;20.03.2012-08:32:53;Mats
5;Completed-Resolved;02.05.2012-14:01:42;Mats
5;Completed-Closed;09.05.2012-23:20:47;Siebel
6;Accepted-In Progress;13.04.2011-14:04:32;Olga
6;Accepted-In Progress;13.04.2011-14:05:38;Olga
6;Queued-Awaiting Assignment;13.04.2011-14:12:39;Olga
6;Accepted-In Progress;19.04.2011-12:23:12;Luc
6;Queued-Awaiting Assignment;19.04.2011-12:27:05;Luc
6;Accepted-In Progress;19.04.2011-12:57:53;Olga
6;Accepted-Wait - User;19.04.2011-13:01:16;Olga
6;Accepted-In Progress;22.04.2011-09:29:18;Olga
6;Accepted-Wait - User;22.04.2011-09:30:27;Olga
6;Accepted-In Progress;27.04.2011-16:38:48;Olga
6;Queued-Awaiting Assignment;27.04.2011-16:42:38;Olga
6;Accepted-In Progress;28.04.2011-09:06:05;Luc
6;Queued-Awaiting Assignment;28.04.2011-09:07:04;Luc
6;Accepted-In Progress;28.04.2011-10:02:04;Olga
6;Queued-Awaiting Assignment;28.04.2011-10:08:04;Olga
6;Accepted-In Progress;11.05.2011-13:31:55;Earl
6;Queued-Awaiting Assignment;27.07.2011-12:28:46;Tsun Fai
6;Accepted-In Progress;16.08.2011-15:42:06;Earl
6;Accepted-In Progress;04.05.2012-07:01:57;Juan
6;Completed-Resolved;04.05.2012-07:02:52;Juan
6;Completed-Closed;11.05.2012-23:21:30;Siebel
7;Accepted-In Progress;03.05.2011-07:42:21;Henk
7;Accepted-In Progress;03.05.2011-07:42:31;Henk
7;Queued-Awaiting Assignment;03.05.2011-07:46:47;Henk
7;Accepted-In Progress;03.05.2011-08:44:47;Luc
7;Queued-Awaiting Assignment;03.05.2011-08:45:41;Luc
7;Accepted-In Progress;03.05.2011-10:05:52;Katia
7;Accepted-Assigned;03.05.2011-10:05:57;Katia
7;Accepted-In Progress;03.05.2011-11:20:46;Henk
7;Queued-Awaiting Assignment;03.05.2011-11:24:45;Henk
7;Accepted-In Progress;11.05.2011-13:39:42;Earl
7;Accepted-Wait - Implementation;04.04.2012-13:56:22;Earl
7;Accepted-In Progress;04.05.2012-07:03:26;Juan
7;Completed-Resolved;04.05.2012-07:06:01;Juan
7;Completed-Closed;11.05.2012-23:21:29;Siebel
8;Accepted-In Progress;05.05.2011-13:47:54;Elaine
8;Accepted-In Progress;05.05.2011-13:48:38;Elaine
8;Accepted-Wait - Vendor;05.05.2011-14:01:23;Elaine
8;Accepted-In Progress;05.05.2011-17:21:53;Elaine
8;Accepted-Wait - User;09.08.2011-18:34:05;Elaine
8;Accepted-In Progress;07.03.2012-14:26:40;Rafael
8;Completed-Resolved;03.05.2012-12:49:21;Rafael
8;Completed-Closed;03.05.2012-23:21:11;Siebel
9;Accepted-In Progress;26.05.2011-13:57:29;Olga
9;Accepted-In Progress;26.05.2011-13:57:50;Olga
9;Queued-Awaiting Assignment;26.05.2011-14:07:31;Olga
9;Accepted-In Progress;30.05.2011-10:44:09;Luc
9;Queued-Awaiting Assignment;30.05.2011-10:46:01;Luc
9;Accepted-In Progress;30.05.2011-11:47:27;Olga
9;Accepted-Wait - User;30.05.2011-11:49:28;Olga
9;Accepted-In Progress;31.05.2011-05:30:30;Olga
9;Queued-Awaiting Assignment;31.05.2011-05:31:53;Olga
9;Accepted-In Progress;31.05.2011-08:02:29;Luc
9;Queued-Awaiting Assignment;31.05.2011-08:15:32;Luc
9;Accepted-In Progress;31.05.2011-08:16:56;Olga
9;Queued-Awaiting Assignment;31.05.2011-08:21:50;Olga
9;Accepted-In Progress;06.07.2011-14:51:06;Earl
9;Accepted-Assigned;06.07.2011-14:51:08;Earl
9;Accepted-In Progress;20.07.2011-12:39:07;Earl
9;Accepted-In Progress;04.05.2012-07:20:17;Juan
9;Completed-Resolved;04.05.2012-07:21:09;Juan
9;Completed-Closed;11.05.2012-23:21:29;Siebel
10;Accepted-In Progress;26.05.2011-16:01:53;Olga
10;Accepted-In Progress;26.05.2011-16:02:23;Olga
10;Queued-Awaiting Assignment;26.05.2011-16:10:38;Olga
10;Accepted-In Progress;30.05.2011-10:46:17;Tsun Fai
10;Queued-Awaiting Assignment;30.05.2011-10:48:32;Tsun Fai
10;Accepted-In Progress;30.05.2011-10:52:42;Olga
10;Accepted-Wait - User;30.05.2011-10:57:50;Olga
10;Accepted-In Progress;31.05.2011-12:01:27;Olga
10;Queued-Awaiting Assignment;31.05.2011-12:03:30;Olga
10;Accepted-In Progress;01.06.2011-07:52:10;Luc
10;Accepted-Assigned;01.06.2011-07:52:25;Luc
10;Accepted-In Progress;01.06.2011-09:36:51;Tsun Fai
10;Queued-Awaiting Assignment;01.06.2011-09:37:06;Tsun Fai
10;Accepted-In Progress;01.06.2011-09:38:08;Olga
10;Accepted-Wait - User;01.06.2011-09:41:39;Olga
10;Accepted-In Progress;01.06.2011-10:09:35;Olga
10;Accepted-Wait - User;01.06.2011-10:11:02;Olga
10;Accepted-In Progress;01.06.2011-10:11:09;Olga
10;Queued-Awaiting Assignment;01.06.2011-10:11:26;Olga
10;Accepted-In Progress;01.06.2011-11:07:38;Luc
10;Accepted-Assigned;01.06.2011-11:07:50;Luc
10;Accepted-In Progress;11.07.2011-09:36:40;Luc
10;Queued-Awaiting Assignment;11.07.2011-09:58:50;Luc
10;Accepted-In Progress;11.07.2011-10:06:14;Marcin
10;Accepted-Assigned;11.07.2011-10:06:18;Marcin
10;Accepted-In Progress;11.07.2011-10:14:25;Olga
10;Accepted-Wait - User;11.07.2011-10:21:28;Olga
10;Accepted-Wait - User;14.07.2011-09:58:50;Siebel
10;Accepted-Wait - User;15.07.2011-08:22:05;Olga
10;Accepted-Wait - User;18.07.2011-08:22:10;Siebel
10;Accepted-In Progress;25.07.2011-12:43:58;Tamara
10;Accepted-Wait;25.07.2011-12:44:03;Tamara
10;Accepted-In Progress;31.08.2011-09:39:40;Olga
10;Queued-Awaiting Assignment;31.08.2011-09:41:40;Olga
10;Accepted-In Progress;31.08.2011-12:39:45;Luc
10;Queued-Awaiting Assignment;31.08.2011-12:40:02;Luc
10;Accepted-In Progress;31.08.2011-12:42:35;Olga
10;Queued-Awaiting Assignment;31.08.2011-12:51:27;Olga
10;Accepted-In Progress;31.08.2011-14:30:39;Luc
10;Queued-Awaiting Assignment;31.08.2011-14:30:52;Luc
10;Accepted-In Progress;31.08.2011-14:35:34;Olga
10;Accepted-Wait - User;31.08.2011-14:38:36;Olga
10;Accepted-In Progress;31.08.2011-14:49:06;Olga
10;Queued-Awaiting Assignment;31.08.2011-14:50:41;Olga
10;Accepted-In Progress;31.08.2011-15:41:51;Luc
10;Queued-Awaiting Assignment;31.08.2011-15:43:59;Luc
10;Accepted-In Progress;31.08.2011-15:46:46;Olga
10;Queued-Awaiting Assignment;31.08.2011-15:49:16;Olga
10;Accepted-In Progress;16.09.2011-16:00:17;Earl
10;Accepted-In Progress;04.05.2012-07:24:21;Juan
10;Completed-Resolved;04.05.2012-07:25:13;Juan
10;Completed-Closed;11.05.2012-23:21:29;Siebel
11;Accepted-In Progress;01.06.2011-07:55:53;Olga
11;Accepted-In Progress;01.06.2011-07:58:17;Olga
11;Queued-Awaiting Assignment;01.06.2011-08:02:37;Olga
11;Accepted-In Progress;06.06.2011-12:51:13;Luc
11;Queued-Awaiting Assignment;06.06.2011-13:21:04;Luc
11;Accepted-In Progress;07.06.2011-12:04:41;Olga
11;Accepted-Wait - User;07.06.2011-12:08:14;Olga
11;Accepted-Wait - User;09.06.2011-13:21:05;Siebel
11;Accepted-In Progress;10.06.2011-09:19:23;Olga
11;Queued-Awaiting Assignment;10.06.2011-09:21:07;Olga
11;Accepted-In Progress;14.06.2011-10:36:29;Luc
11;Queued-Awaiting Assignment;14.06.2011-14:06:36;Tsun Fai
11;Accepted-In Progress;15.06.2011-09:14:27;Olga
11;Accepted-Wait - User;15.06.2011-09:25:57;Olga
11;Accepted-In Progress;15.06.2011-12:55:06;Olga
11;Queued-Awaiting Assignment;15.06.2011-12:57:08;Olga
11;Accepted-In Progress;16.06.2011-09:43:41;Luc
11;Accepted-Assigned;16.06.2011-09:44:53;Luc
11;Accepted-In Progress;22.06.2011-15:38:39;Tsun Fai
11;Queued-Awaiting Assignment;22.06.2011-15:39:48;Tsun Fai
11;Accepted-In Progress;22.06.2011-16:22:56;Olga
11;Queued-Awaiting Assignment;22.06.2011-16:26:25;Olga
11;Accepted-In Progress;06.07.2011-14:48:02;Earl
11;Accepted-Assigned;06.07.2011-14:48:05;Earl
11;Accepted-In Progress;20.07.2011-12:34:41;Earl
11;Completed-Resolved;06.04.2012-09:12:33;Earl
11;Accepted-In Progress;06.04.2012-09:13:09;Earl
11;Accepted-Wait;06.04.2012-09:13:14;Earl
11;Accepted-In Progress;04.05.2012-07:25:45;Juan
11;Completed-Resolved;04.05.2012-07:26:18;Juan
11;Completed-Closed;11.05.2012-23:21:29;Siebel
12;Accepted-In Progress;02.06.2011-07:22:45;Olga
12;Accepted-In Progress;02.06.2011-07:23:13;Olga
12;Queued-Awaiting Assignment;02.06.2011-07:36:23;Olga
12;Accepted-In Progress;06.06.2011-11:16:57;Luc
12;Queued-Awaiting Assignment;06.06.2011-11:17:50;Luc
12;Accepted-In Progress;06.06.2011-12:06:29;Olga
12;Queued-Awaiting Assignment;06.06.2011-12:08:54;Olga
12;Accepted-In Progress;06.07.2011-14:47:36;Earl
12;Accepted-Assigned;06.07.2011-14:47:39;Earl
12;Accepted-In Progress;20.07.2011-12:31:33;Earl
12;Queued-Awaiting Assignment;19.04.2012-16:05:54;Tsun Fai
12;Accepted-In Progress;04.05.2012-07:26:59;Juan
12;Completed-Resolved;04.05.2012-07:27:21;Juan
12;Completed-Closed;11.05.2012-23:21:29;Siebel
13;Accepted-In Progress;02.06.2011-15:17:44;Marco
13;Accepted-In Progress;02.06.2011-15:24:37;Marco
13;Queued-Awaiting Assignment;02.06.2011-15:28:48;Marco
13;Accepted-In Progress;06.06.2011-10:54:51;Tsun Fai
13;Queued-Awaiting Assignment;06.06.2011-10:57:46;Tsun Fai
13;Accepted-In Progress;06.06.2011-11:23:05;Marco
13;Accepted-Wait - User;06.06.2011-11:25:31;Marco
13;Queued-Awaiting Assignment;07.06.2011-14:31:26;Marco
13;Queued-Awaiting Assignment;07.06.2011-14:31:27;Marco
13;Accepted-In Progress;07.06.2011-17:40:40;Ilona
13;Accepted-Wait;07.06.2011-17:40:42;Ilona
13;Accepted-In Progress;06.07.2011-14:45:09;Marco
13;Completed-Resolved;06.07.2011-14:45:50;Marco
13;Queued-Awaiting Assignment;06.07.2011-16:35:36;Iván
13;Accepted-In Progress;06.07.2011-16:51:44;Marco
13;Queued-Awaiting Assignment;06.07.2011-16:53:49;Marco
13;Accepted-In Progress;06.07.2011-16:53:53;Marco
13;Queued-Awaiting Assignment;06.07.2011-16:54:21;Marco
13;Accepted-In Progress;07.07.2011-07:54:32;Luc
13;Accepted-Assigned;07.07.2011-08:12:26;Luc
13;Accepted-In Progress;07.07.2011-13:25:52;Tsun Fai
13;Queued-Awaiting Assignment;07.07.2011-13:25:59;Tsun Fai
13;Accepted-In Progress;07.07.2011-13:26:47;Valeria
13;Accepted-Assigned;07.07.2011-13:27:57;Valeria
13;Accepted-In Progress;07.07.2011-14:49:37;Marco
13;Accepted-Wait - User;07.07.2011-14:58:09;Marco
13;Queued-Awaiting Assignment;08.07.2011-11:31:55;Marco
13;Accepted-In Progress;08.07.2011-12:16:14;Luc
13;Queued-Awaiting Assignment;08.07.2011-12:17:18;Luc
13;Accepted-In Progress;08.07.2011-12:17:21;Luc
13;Accepted-Assigned;08.07.2011-12:17:25;Luc
13;Accepted-In Progress;11.07.2011-09:55:00;Tsun Fai
13;Queued-Awaiting Assignment;11.07.2011-12:32:37;Tsun Fai
13;Accepted-In Progress;11.07.2011-12:41:23;Valeria
13;Accepted-Assigned;11.07.2011-12:43:21;Valeria
13;Accepted-Assigned;14.07.2011-12:32:37;Siebel
13;Accepted-In Progress;18.07.2011-15:01:05;Tamara
13;Queued-Awaiting Assignment;18.07.2011-15:01:42;Tamara
13;Accepted-In Progress;16.08.2011-15:33:46;Earl
13;Accepted-Wait;06.04.2012-09:18:12;Earl
13;Accepted-In Progress;04.05.2012-07:27:48;Juan
13;Completed-Resolved;04.05.2012-07:28:43;Juan
13;Completed-Closed;11.05.2012-23:21:28;Siebel
14;Accepted-In Progress;08.06.2011-12:58:15;Ilona
14;Accepted-In Progress;08.06.2011-12:58:20;Ilona
14;Queued-Awaiting Assignment;08.06.2011-13:02:01;Ilona
14;Accepted-In Progress;08.06.2011-15:20:33;Ilona
14;Queued-Awaiting Assignment;08.06.2011-15:21:14;Ilona
14;Accepted-In Progress;08.06.2011-15:55:56;Luc
14;Queued-Awaiting Assignment;09.06.2011-08:34:50;Luc
14;Accepted-In Progress;09.06.2011-10:19:26;Ilona
14;Accepted-Wait - User;09.06.2011-10:21:37;Ilona
14;Queued-Awaiting Assignment;09.06.2011-16:54:41;Ilona
14;Accepted-In Progress;10.06.2011-14:16:38;Tsun Fai
14;Queued-Awaiting Assignment;10.06.2011-14:29:07;Tsun Fai
14;Accepted-In Progress;10.06.2011-14:29:59;Ilona
14;Queued-Awaiting Assignment;10.06.2011-14:31:48;Ilona
14;Accepted-In Progress;06.07.2011-14:45:53;Earl
14;Accepted-Assigned;06.07.2011-14:45:56;Earl
14;Accepted-In Progress;20.07.2011-12:30:13;Earl
14;Accepted-Wait;06.04.2012-09:09:19;Earl
14;Accepted-In Progress;04.05.2012-07:29:15;Juan
14;Completed-Resolved;04.05.2012-07:30:26;Juan
14;Completed-Closed;11.05.2012-23:21:28;Siebel
15;Accepted-In Progress;24.06.2011-12:23:13;Olga
15;Accepted-In Progress;24.06.2011-12:23:15;Olga
15;Queued-Awaiting Assignment;24.06.2011-12:25:58;Olga
15;Accepted-In Progress;24.06.2011-12:46:34;Luc
15;Queued-Awaiting Assignment;24.06.2011-13:37:42;Luc
15;Accepted-In Progress;24.06.2011-14:08:11;Olga
15;Queued-Awaiting Assignment;24.06.2011-14:10:52;Olga
15;Accepted-In Progress;06.07.2011-14:40:51;Earl
15;Accepted-Assigned;06.07.2011-14:40:55;Earl
15;Accepted-In Progress;20.07.2011-12:23:24;Earl
15;Accepted-Wait;06.04.2012-09:20:07;Earl
15;Accepted-In Progress;04.05.2012-07:31:16;Juan
15;Completed-Resolved;04.05.2012-07:31:48;Juan
15;Completed-Closed;11.05.2012-23:21:28;Siebel
16;Accepted-In Progress;24.06.2011-13:58:54;Olga
16;Accepted-In Progress;24.06.2011-13:58:56;Olga
16;Queued-Awaiting Assignment;24.06.2011-14:02:31;Olga
16;Accepted-In Progress;24.06.2011-14:42:25;Luc
16;Queued-Awaiting Assignment;27.06.2011-08:34:41;Luc
16;Accepted-In Progress;27.06.2011-08:41:23;Olga
16;Accepted-Wait - User;27.06.2011-08:45:13;Olga
16;Accepted-In Progress;27.06.2011-08:48:50;Olga
16;Queued-Awaiting Assignment;27.06.2011-09:05:48;Olga
16;Accepted-In Progress;27.06.2011-10:24:37;Luc
16;Queued-Awaiting Assignment;27.06.2011-10:32:59;Luc
16;Accepted-In Progress;27.06.2011-10:54:24;Olga
16;Queued-Awaiting Assignment;27.06.2011-10:59:32;Olga
16;Accepted-In Progress;06.07.2011-14:39:12;Earl
16;Accepted-Assigned;06.07.2011-14:39:30;Earl
16;Accepted-In Progress;20.07.2011-13:53:58;Earl
16;Accepted-Wait;06.04.2012-09:14:17;Earl
16;Accepted-In Progress;04.05.2012-07:32:16;Juan
16;Completed-Resolved;04.05.2012-07:32:47;Juan
16;Completed-Closed;11.05.2012-23:21:28;Siebel
17;Accepted-In Progress;28.06.2011-10:35:39;Frederic
17;Accepted-In Progress;28.06.2011-10:35:57;Frederic
17;Queued-Awaiting Assignment;28.06.2011-10:50:20;Frederic
17;Accepted-In Progress;28.06.2011-10:58:24;Fabrice
17;Queued-Awaiting Assignment;28.06.2011-10:59:36;Fabrice
17;Accepted-In Progress;28.06.2011-16:45:50;Frederic
17;Queued-Awaiting Assignment;28.06.2011-16:46:58;Frederic
17;Accepted-In Progress;29.06.2011-08:47:40;Julien
17;Queued-Awaiting Assignment;29.06.2011-08:48:21;Julien
17;Accepted-In Progress;29.06.2011-08:51:19;Frederic
17;Accepted-In Progress;02.07.2011-08:48:21;Siebel
17;Queued-Awaiting Assignment;20.09.2011-15:27:24;Adeline
17;Accepted-In Progress;18.04.2012-14:25:03;Julien
17;Queued-Awaiting Assignment;18.04.2012-14:26:29;Julien
17;Accepted-In Progress;02.05.2012-13:34:18;Julien
