case_id;activity;time;Involved ST Function Div;Involved Org line 3
1;Accepted-Assigned;12.09.2011-09:22:38;V3_2;Org line C
1;Accepted-In Progress;21.11.2011-12:52:19;V3_2;Org line C
1;Accepted-Wait - Implementation;21.11.2011-12:52:57;V3_2;Org line C
1;Queued-Awaiting Assignment;25.01.2012-14:50:41;E_10;Org line C
1;Accepted-In Progress;25.01.2012-14:53:07;E_10;Org line C
1;Queued-Awaiting Assignment;25.01.2012-14:54:00;V3_2;Org line C
1;Accepted-In Progress;15.05.2012-15:56:51;V3_2;Org line C
1;Completed-Resolved;15.05.2012-15:57:39;V3_2;Org line C
1;Completed-Closed;22.05.2012-23:22:25;V3_2;Org line C
2;Accepted-In Progress;24.02.2011-15:17:46;A2_1;Org line C
2;Accepted-In Progress;24.02.2011-15:17:52;A2_1;Org line C
2;Queued-Awaiting Assignment;24.02.2011-15:19:35;Dummy;Org line V7n
2;Accepted-In Progress;28.02.2011-12:46:38;Dummy;Org line V7n
2;Queued-Awaiting Assignment;28.02.2011-12:47:22;A2_1;Org line C
2;Accepted-In Progress;28.02.2011-12:48:12;A2_1;Org line C
2;Queued-Awaiting Assignment;28.02.2011-12:53:24;Dummy;Org line V7n
2;Accepted-In Progress;04.05.2011-16:07:37;Dummy;Org line V7n
2;Queued-Awaiting Assignment;17.02.2012-13:49:34;Dummy;Org line V7n
2;Accepted-In Progress;21.03.2012-15:21:44;Dummy;Org line V7n
2;Accepted-In Progress;26.03.2012-09:55:35;Dummy;Org line V7n
2;Queued-Awaiting Assignment;26.03.2012-09:57:04;Dummy;Org line V7n
2;Accepted-In Progress;03.04.2012-13:29:44;Dummy;Org line V7n
2;Accepted-Wait;03.04.2012-13:29:49;Dummy;Org line V7n
2;Accepted-In Progress;04.05.2012-06:58:20;Dummy;Org line V7n
2;Completed-Resolved;04.05.2012-06:59:39;Dummy;Org line V7n
2;Completed-Closed;11.05.2012-23:21:31;Dummy;Org line V7n
3;Accepted-In Progress;28.02.2011-13:13:33;A2_1;Org line C
3;Accepted-In Progress;28.02.2011-13:13:40;A2_1;Org line C
3;Queued-Awaiting Assignment;28.02.2011-13:17:09;Dummy;Org line V7n
3;Accepted-In Progress;01.03.2011-14:59:36;Dummy;Org line V7n
3;Queued-Awaiting Assignment;01.03.2011-15:00:16;A2_1;Org line C
3;Accepted-In Progress;01.03.2011-17:34:25;A2_1;Org line C
3;Accepted-Assigned;01.03.2011-17:46:00;A2_1;Org line C
3;Accepted-In Progress;02.03.2011-06:42:49;A2_1;Org line C
3;Queued-Awaiting Assignment;02.03.2011-06:44:11;Dummy;Org line V7n
3;Accepted-In Progress;04.05.2011-16:08:55;Dummy;Org line V7n
3;Queued-Awaiting Assignment;13.03.2012-09:53:43;Dummy;Org line V7n
3;Accepted-In Progress;13.03.2012-10:11:24;Dummy;Org line V7n
3;Queued-Awaiting Assignment;13.03.2012-10:27:20;Dummy;Org line V7n
3;Accepted-In Progress;03.04.2012-13:59:27;Dummy;Org line V7n
3;Accepted-Wait - Implementation;04.04.2012-13:53:31;Dummy;Org line V7n
3;Accepted-In Progress;04.04.2012-13:54:40;Dummy;Org line V7n
3;Accepted-In Progress;04.05.2012-06:55:03;Dummy;Org line V7n
3;Completed-Resolved;04.05.2012-06:57:02;Dummy;Org line V7n
3;Completed-Closed;11.05.2012-23:21:30;Dummy;Org line V7n
4;Accepted-In Progress;07.03.2011-09:42:08;A2_1;Org line A2
4;Accepted-In Progress;07.03.2011-09:44:43;A2_1;Org line A2
4;Accepted-In Progress;07.03.2011-09:51:59;A2_1;Org line A2
4;Queued-Awaiting Assignment;07.03.2011-09:52:51;Dummy;Org line V7n
4;Accepted-In Progress;07.03.2011-10:48:31;Dummy;Org line V7n
4;Queued-Awaiting Assignment;07.03.2011-10:55:20;A2_1;Org line A2
4;Accepted-In Progress;07.03.2011-11:03:37;A2_1;Org line A2
4;Accepted-Wait - User;07.03.2011-11:04:35;A2_1;Org line A2
4;Accepted-In Progress;07.03.2011-12:22:56;A2_1;Org line A2
4;Queued-Awaiting Assignment;07.03.2011-12:24:38;Dummy;Org line V7n
4;Accepted-In Progress;07.03.2011-13:13:15;Dummy;Org line V7n
4;Queued-Awaiting Assignment;07.03.2011-13:13:58;A2_1;Org line A2
4;Accepted-In Progress;08.03.2011-05:53:06;A2_1;Org line A2
4;Queued-Awaiting Assignment;08.03.2011-05:55:54;Dummy;Org line V7n
4;Accepted-In Progress;08.03.2011-08:16:24;Dummy;Org line V7n
4;Queued-Awaiting Assignment;08.03.2011-08:18:18;A2_1;Org line A2
4;Accepted-In Progress;08.03.2011-08:20:32;A2_1;Org line A2
4;Accepted-Wait - User;08.03.2011-08:22:46;A2_1;Org line A2
4;Accepted-In Progress;09.03.2011-06:16:14;A2_1;Org line A2
4;Queued-Awaiting Assignment;09.03.2011-06:17:16;Dummy;Org line V7n
4;Accepted-In Progress;09.03.2011-16:03:41;Dummy;Org line V7n
4;Queued-Awaiting Assignment;09.03.2011-16:05:12;A2_1;Org line A2
4;Accepted-In Progress;10.03.2011-11:29:05;A2_1;Org line A2
4;Accepted-Wait - User;10.03.2011-11:47:33;A2_1;Org line A2
4;Accepted-In Progress;14.03.2011-09:19:53;A2_1;Org line A2
4;Accepted-Assigned;14.03.2011-09:28:30;A2_1;Org line A2
4;Accepted-In Progress;14.03.2011-09:28:35;A2_1;Org line A2
4;Queued-Awaiting Assignment;14.03.2011-09:29:13;Dummy;Org line V7n
4;Accepted-In Progress;14.03.2011-09:30:27;A2_1;Org line A2
4;Queued-Awaiting Assignment;14.03.2011-09:37:19;Dummy;Org line V7n
4;Accepted-In Progress;15.03.2011-09:41:17;Dummy;Org line V7n
4;Queued-Awaiting Assignment;15.03.2011-09:53:36;A2_1;Org line A2
4;Accepted-In Progress;15.03.2011-10:00:18;A2_1;Org line A2
4;Queued-Awaiting Assignment;15.03.2011-10:12:52;Dummy;Org line V7n
4;Accepted-In Progress;15.03.2011-10:21:49;Dummy;Org line V7n
4;Queued-Awaiting Assignment;15.03.2011-10:23:58;A2_1;Org line A2
4;Accepted-In Progress;15.03.2011-10:27:28;A2_1;Org line A2
4;Accepted-Wait - User;15.03.2011-10:33:30;A2_1;Org line A2
4;Accepted-In Progress;15.03.2011-11:38:16;A2_1;Org line A2
4;Accepted-Wait - User;15.03.2011-13:39:01;A2_1;Org line A2
4;Accepted-In Progress;23.03.2011-09:13:28;A2_1;Org line A2
4;Accepted-In Progress;23.03.2011-09:13:29;A2_1;Org line A2
4;Accepted-Wait - User;23.03.2011-09:17:21;A2_1;Org line A2
4;Accepted-In Progress;24.03.2011-09:12:18;A2_1;Org line A2
4;Queued-Awaiting Assignment;24.03.2011-09:13:25;Dummy;Org line V7n
4;Accepted-In Progress;24.03.2011-12:20:10;Dummy;Org line V7n
4;Queued-Awaiting Assignment;24.03.2011-12:20:46;A2_1;Org line A2
4;Accepted-In Progress;24.03.2011-16:50:30;A2_1;Org line A2
4;Queued-Awaiting Assignment;24.03.2011-16:54:55;Dummy;Org line V7n
4;Accepted-In Progress;04.05.2011-16:36:03;Dummy;Org line V7n
4;Queued-Awaiting Assignment;23.05.2011-12:52:07;A2_1;Org line A2
4;Accepted-In Progress;24.05.2011-13:02:14;A2_1;Org line A2
4;Accepted-Wait - User;24.05.2011-15:16:36;A2_1;Org line A2
4;Accepted-In Progress;25.05.2011-14:25:09;A2_1;Org line A2
4;Accepted-In Progress;26.05.2011-12:52:07;A2_1;Org line A2
4;Accepted-Wait - User;26.05.2011-14:20:06;A2_1;Org line A2
4;Accepted-In Progress;26.05.2011-14:21:36;A2_1;Org line A2
4;Queued-Awaiting Assignment;26.05.2011-14:21:59;Dummy;Org line V7n
4;Accepted-In Progress;20.07.2011-13:55:42;Dummy;Org line V7n
4;Accepted-In Progress;04.05.2012-07:00:07;Dummy;Org line V7n
4;Completed-Resolved;04.05.2012-07:01:21;Dummy;Org line V7n
4;Completed-Closed;11.05.2012-23:21:30;Dummy;Org line V7n
5;Accepted-In Progress;04.04.2011-14:51:24;V3_2;Org line C
5;Accepted-In Progress;04.04.2011-14:52:15;V3_2;Org line C
5;Queued-Awaiting Assignment;04.04.2011-14:58:11;V3_2;Org line C
5;Accepted-In Progress;04.04.2011-15:11:27;V3_2;Org line C
5;Accepted-Assigned;04.04.2011-15:11:37;V3_2;Org line C
5;Accepted-In Progress;04.04.2011-15:18:04;V3_2;Org line C
5;Accepted-Wait - User;04.04.2011-15:24:46;V3_2;Org line C
5;Completed-Resolved;08.04.2011-09:42:53;V3_2;Org line C
5;Accepted-Assigned;11.04.2011-16:53:52;V3_2;Org line C
5;Accepted-In Progress;11.04.2011-16:56:47;V3_2;Org line C
5;Queued-Awaiting Assignment;11.04.2011-16:57:06;V3_2;Org line C
5;Accepted-In Progress;12.04.2011-06:21:26;V3_2;Org line C
5;Accepted-Assigned;12.04.2011-06:22:36;V3_2;Org line C
5;Accepted-In Progress;12.04.2011-07:12:13;V3_2;Org line C
5;Accepted-Wait - User;12.04.2011-07:12:19;V3_2;Org line C
5;Accepted-In Progress;31.05.2011-08:39:43;V3_2;Org line C
5;Accepted-Wait - User;31.05.2011-08:39:48;V3_2;Org line C
5;Accepted-Assigned;28.10.2011-13:22:35;V3_2;Org line C
5;Accepted-In Progress;31.10.2011-07:06:01;V3_2;Org line C
5;Accepted-Wait - User;31.10.2011-07:06:05;V3_2;Org line C
5;Accepted-Assigned;09.12.2011-10:24:12;V3_2;Org line C
5;Accepted-In Progress;09.12.2011-14:00:24;V3_2;Org line C
5;Accepted-Wait - User;09.12.2011-14:00:29;V3_2;Org line C
5;Accepted-In Progress;12.03.2012-09:03:11;V3_2;Org line C
5;Accepted-Wait - User;12.03.2012-09:03:15;V3_2;Org line C
5;Accepted-Assigned;19.03.2012-12:15:59;V3_2;Org line C
5;Accepted-In Progress;19.03.2012-13:21:01;V3_2;Org line C
5;Accepted-Assigned;19.03.2012-13:23:52;V3_2;Org line C
5;Accepted-In Progress;20.03.2012-08:32:27;V3_2;Org line C
5;Accepted-Wait - User;20.03.2012-08:32:53;V3_2;Org line C
5;Completed-Resolved;02.05.2012-14:01:42;V3_2;Org line C
5;Completed-Closed;09.05.2012-23:20:47;V3_2;Org line C
6;Accepted-In Progress;13.04.2011-14:04:32;A2_1;Org line A2
6;Accepted-In Progress;13.04.2011-14:05:38;A2_1;Org line A2
6;Queued-Awaiting Assignment;13.04.2011-14:12:39;Dummy;Org line V7n
6;Accepted-In Progress;19.04.2011-12:23:12;Dummy;Org line V7n
6;Queued-Awaiting Assignment;19.04.2011-12:27:05;A2_1;Org line A2
6;Accepted-In Progress;19.04.2011-12:57:53;A2_1;Org line A2
6;Accepted-Wait - User;19.04.2011-13:01:16;A2_1;Org line A2
6;Accepted-In Progress;22.04.2011-09:29:18;A2_1;Org line A2
6;Accepted-Wait - User;22.04.2011-09:30:27;A2_1;Org line A2
6;Accepted-In Progress;27.04.2011-16:38:48;A2_1;Org line A2
6;Queued-Awaiting Assignment;27.04.2011-16:42:38;Dummy;Org line V7n
6;Accepted-In Progress;28.04.2011-09:06:05;Dummy;Org line V7n
6;Queued-Awaiting Assignment;28.04.2011-09:07:04;A2_1;Org line A2
6;Accepted-In Progress;28.04.2011-10:02:04;A2_1;Org line A2
6;Queued-Awaiting Assignment;28.04.2011-10:08:04;Dummy;Org line V7n
6;Accepted-In Progress;11.05.2011-13:31:55;Dummy;Org line V7n
6;Queued-Awaiting Assignment;27.07.2011-12:28:46;Dummy;Org line V7n
6;Accepted-In Progress;16.08.2011-15:42:06;Dummy;Org line V7n
6;Accepted-In Progress;04.05.2012-07:01:57;Dummy;Org line V7n
6;Completed-Resolved;04.05.2012-07:02:52;Dummy;Org line V7n
6;Completed-Closed;11.05.2012-23:21:30;Dummy;Org line V7n
7;Accepted-In Progress;03.05.2011-07:42:21;A2_1;Org line C
7;Accepted-In Progress;03.05.2011-07:42:31;A2_1;Org line C
7;Queued-Awaiting Assignment;03.05.2011-07:46:47;Dummy;Org line V7n
7;Accepted-In Progress;03.05.2011-08:44:47;Dummy;Org line V7n
7;Queued-Awaiting Assignment;03.05.2011-08:45:41;A2_1;Org line C
7;Accepted-In Progress;03.05.2011-10:05:52;A2_1;Org line C
7;Accepted-Assigned;03.05.2011-10:05:57;A2_1;Org line C
7;Accepted-In Progress;03.05.2011-11:20:46;A2_1;Org line C
7;Queued-Awaiting Assignment;03.05.2011-11:24:45;Dummy;Org line V7n
7;Accepted-In Progress;11.05.2011-13:39:42;Dummy;Org line V7n
7;Accepted-Wait - Implementation;04.04.2012-13:56:22;Dummy;Org line V7n
7;Accepted-In Progress;04.05.2012-07:03:26;Dummy;Org line V7n
7;Completed-Resolved;04.05.2012-07:06:01;Dummy;Org line V7n
7;Completed-Closed;11.05.2012-23:21:29;Dummy;Org line V7n
8;Accepted-In Progress;05.05.2011-13:47:54;Dummy;Org line B
8;Accepted-In Progress;05.05.2011-13:48:38;Dummy;Org line B
8;Accepted-Wait - Vendor;05.05.2011-14:01:23;Dummy;Org line B
8;Accepted-In Progress;05.05.2011-17:21:53;Dummy;Org line B
8;Accepted-Wait - User;09.08.2011-18:34:05;Dummy;Org line B
8;Accepted-In Progress;07.03.2012-14:26:40;Dummy;Org line B
8;Completed-Resolved;03.05.2012-12:49:21;Dummy;Org line B
8;Completed-Closed;03.05.2012-23:21:11;Dummy;Org line B
9;Accepted-In Progress;26.05.2011-13:57:29;A2_1;Org line A2
9;Accepted-In Progress;26.05.2011-13:57:50;A2_1;Org line A2
9;Queued-Awaiting Assignment;26.05.2011-14:07:31;Dummy;Org line V7n
9;Accepted-In Progress;30.05.2011-10:44:09;Dummy;Org line V7n
9;Queued-Awaiting Assignment;30.05.2011-10:46:01;A2_1;Org line A2
9;Accepted-In Progress;30.05.2011-11:47:27;A2_1;Org line A2
9;Accepted-Wait - User;30.05.2011-11:49:28;A2_1;Org line A2
9;Accepted-In Progress;31.05.2011-05:30:30;A2_1;Org line A2
9;Queued-Awaiting Assignment;31.05.2011-05:31:53;Dummy;Org line V7n
9;Accepted-In Progress;31.05.2011-08:02:29;Dummy;Org line V7n
9;Queued-Awaiting Assignment;31.05.2011-08:15:32;A2_1;Org line A2
9;Accepted-In Progress;31.05.2011-08:16:56;A2_1;Org line A2
9;Queued-Awaiting Assignment;31.05.2011-08:21:50;Dummy;Org line V7n
9;Accepted-In Progress;06.07.2011-14:51:06;Dummy;Org line V7n
9;Accepted-Assigned;06.07.2011-14:51:08;Dummy;Org line V7n
9;Accepted-In Progress;20.07.2011-12:39:07;Dummy;Org line V7n
9;Accepted-In Progress;04.05.2012-07:20:17;Dummy;Org line V7n
9;Completed-Resolved;04.05.2012-07:21:09;Dummy;Org line V7n
9;Completed-Closed;11.05.2012-23:21:29;Dummy;Org line V7n
10;Accepted-In Progress;26.05.2011-16:01:53;A2_1;Org line A2
10;Accepted-In Progress;26.05.2011-16:02:23;A2_1;Org line A2
10;Queued-Awaiting Assignment;26.05.2011-16:10:38;Dummy;Org line V7n
10;Accepted-In Progress;30.05.2011-10:46:17;Dummy;Org line V7n
10;Queued-Awaiting Assignment;30.05.2011-10:48:32;A2_1;Org line A2
10;Accepted-In Progress;30.05.2011-10:52:42;A2_1;Org line A2
10;Accepted-Wait - User;30.05.2011-10:57:50;A2_1;Org line A2
10;Accepted-In Progress;31.05.2011-12:01:27;A2_1;Org line A2
10;Queued-Awaiting Assignment;31.05.2011-12:03:30;Dummy;Org line V7n
10;Accepted-In Progress;01.06.2011-07:52:10;Dummy;Org line V7n
10;Accepted-Assigned;01.06.2011-07:52:25;Dummy;Org line V7n
10;Accepted-In Progress;01.06.2011-09:36:51;Dummy;Org line V7n
10;Queued-Awaiting Assignment;01.06.2011-09:37:06;A2_1;Org line A2
10;Accepted-In Progress;01.06.2011-09:38:08;A2_1;Org line A2
10;Accepted-Wait - User;01.06.2011-09:41:39;A2_1;Org line A2
10;Accepted-In Progress;01.06.2011-10:09:35;A2_1;Org line A2
10;Accepted-Wait - User;01.06.2011-10:11:02;A2_1;Org line A2
10;Accepted-In Progress;01.06.2011-10:11:09;A2_1;Org line A2
10;Queued-Awaiting Assignment;01.06.2011-10:11:26;Dummy;Org line V7n
10;Accepted-In Progress;01.06.2011-11:07:38;Dummy;Org line V7n
10;Accepted-Assigned;01.06.2011-11:07:50;Dummy;Org line V7n
10;Accepted-In Progress;11.07.2011-09:36:40;Dummy;Org line V7n
10;Queued-Awaiting Assignment;11.07.2011-09:58:50;A2_1;Org line A2
10;Accepted-In Progress;11.07.2011-10:06:14;A2_1;Org line A2
10;Accepted-Assigned;11.07.2011-10:06:18;A2_1;Org line A2
10;Accepted-In Progress;11.07.2011-10:14:25;A2_1;Org line A2
10;Accepted-Wait - User;11.07.2011-10:21:28;A2_1;Org line A2
10;Accepted-Wait - User;14.07.2011-09:58:50;A2_1;Org line A2
10;Accepted-Wait - User;15.07.2011-08:22:05;A2_1;Org line A2
10;Accepted-Wait - User;18.07.2011-08:22:10;A2_1;Org line A2
10;Accepted-In Progress;25.07.2011-12:43:58;Dummy;Org line V7
10;Accepted-Wait;25.07.2011-12:44:03;Dummy;Org line V7
10;Accepted-In Progress;31.08.2011-09:39:40;A2_1;Org line A2
10;Queued-Awaiting Assignment;31.08.2011-09:41:40;Dummy;Org line V7n
10;Accepted-In Progress;31.08.2011-12:39:45;Dummy;Org line V7n
10;Queued-Awaiting Assignment;31.08.2011-12:40:02;A2_1;Org line A2
10;Accepted-In Progress;31.08.2011-12:42:35;A2_1;Org line A2
10;Queued-Awaiting Assignment;31.08.2011-12:51:27;Dummy;Org line V7n
10;Accepted-In Progress;31.08.2011-14:30:39;Dummy;Org line V7n
10;Queued-Awaiting Assignment;31.08.2011-14:30:52;A2_1;Org line A2
10;Accepted-In Progress;31.08.2011-14:35:34;A2_1;Org line A2
10;Accepted-Wait - User;31.08.2011-14:38:36;A2_1;Org line A2
10;Accepted-In Progress;31.08.2011-14:49:06;A2_1;Org line A2
10;Queued-Awaiting Assignment;31.08.2011-14:50:41;Dummy;Org line V7n
10;Accepted-In Progress;31.08.2011-15:41:51;Dummy;Org line V7n
10;Queued-Awaiting Assignment;31.08.2011-15:43:59;A2_1;Org line A2
10;Accepted-In Progress;31.08.2011-15:46:46;A2_1;Org line A2
10;Queued-Awaiting Assignment;31.08.2011-15:49:16;Dummy;Org line V7n
10;Accepted-In Progress;16.09.2011-16:00:17;Dummy;Org line V7n
10;Accepted-In Progress;04.05.2012-07:24:21;Dummy;Org line V7n
10;Completed-Resolved;04.05.2012-07:25:13;Dummy;Org line V7n
10;Completed-Closed;11.05.2012-23:21:29;Dummy;Org line V7n
11;Accepted-In Progress;01.06.2011-07:55:53;A2_1;Org line A2
11;Accepted-In Progress;01.06.2011-07:58:17;A2_1;Org line A2
11;Queued-Awaiting Assignment;01.06.2011-08:02:37;Dummy;Org line V7n
11;Accepted-In Progress;06.06.2011-12:51:13;Dummy;Org line V7n
11;Queued-Awaiting Assignment;06.06.2011-13:21:04;A2_1;Org line A2
11;Accepted-In Progress;07.06.2011-12:04:41;A2_1;Org line A2
11;Accepted-Wait - User;07.06.2011-12:08:14;A2_1;Org line A2
11;Accepted-Wait - User;09.06.2011-13:21:05;A2_1;Org line A2
11;Accepted-In Progress;10.06.2011-09:19:23;A2_1;Org line A2
11;Queued-Awaiting Assignment;10.06.2011-09:21:07;Dummy;Org line V7n
11;Accepted-In Progress;14.06.2011-10:36:29;Dummy;Org line V7n
11;Queued-Awaiting Assignment;14.06.2011-14:06:36;A2_1;Org line A2
11;Accepted-In Progress;15.06.2011-09:14:27;A2_1;Org line A2
11;Accepted-Wait - User;15.06.2011-09:25:57;A2_1;Org line A2
11;Accepted-In Progress;15.06.2011-12:55:06;A2_1;Org line A2
11;Queued-Awaiting Assignment;15.06.2011-12:57:08;Dummy;Org line V7n
11;Accepted-In Progress;16.06.2011-09:43:41;Dummy;Org line V7n
11;Accepted-Assigned;16.06.2011-09:44:53;Dummy;Org line V7n
11;Accepted-In Progress;22.06.2011-15:38:39;Dummy;Org line V7n
11;Queued-Awaiting Assignment;22.06.2011-15:39:48;A2_1;Org line A2
11;Accepted-In Progress;22.06.2011-16:22:56;A2_1;Org line A2
11;Queued-Awaiting Assignment;22.06.2011-16:26:25;Dummy;Org line V7n
11;Accepted-In Progress;06.07.2011-14:48:02;Dummy;Org line V7n
11;Accepted-Assigned;06.07.2011-14:48:05;Dummy;Org line V7n
11;Accepted-In Progress;20.07.2011-12:34:41;Dummy;Org line V7n
11;Completed-Resolved;06.04.2012-09:12:33;Dummy;Org line V7n
11;Accepted-In Progress;06.04.2012-09:13:09;Dummy;Org line V7n
11;Accepted-Wait;06.04.2012-09:13:14;Dummy;Org line V7n
11;Accepted-In Progress;04.05.2012-07:25:45;Dummy;Org line V7n
11;Completed-Resolved;04.05.2012-07:26:18;Dummy;Org line V7n
11;Completed-Closed;11.05.2012-23:21:29;Dummy;Org line V7n
12;Accepted-In Progress;02.06.2011-07:22:45;A2_1;Org line A2
12;Accepted-In Progress;02.06.2011-07:23:13;A2_1;Org line A2
12;Queued-Awaiting Assignment;02.06.2011-07:36:23;Dummy;Org line V7n
12;Accepted-In Progress;06.06.2011-11:16:57;Dummy;Org line V7n
12;Queued-Awaiting Assignment;06.06.2011-11:17:50;A2_1;Org line A2
12;Accepted-In Progress;06.06.2011-12:06:29;A2_1;Org line A2
12;Queued-Awaiting Assignment;06.06.2011-12:08:54;Dummy;Org line V7n
12;Accepted-In Progress;06.07.2011-14:47:36;Dummy;Org line V7n
12;Accepted-Assigned;06.07.2011-14:47:39;Dummy;Org line V7n
12;Accepted-In Progress;20.07.2011-12:31:33;Dummy;Org line V7n
12;Queued-Awaiting Assignment;19.04.2012-16:05:54;Dummy;Org line V7n
12;Accepted-In Progress;04.05.2012-07:26:59;Dummy;Org line V7n
12;Completed-Resolved;04.05.2012-07:27:21;Dummy;Org line V7n
12;Completed-Closed;11.05.2012-23:21:29;Dummy;Org line V7n
13;Accepted-In Progress;02.06.2011-15:17:44;A2_1;Org line C
13;Accepted-In Progress;02.06.2011-15:24:37;A2_1;Org line C
13;Queued-Awaiting Assignment;02.06.2011-15:28:48;Dummy;Org line V7n
13;Accepted-In Progress;06.06.2011-10:54:51;Dummy;Org line V7n
13;Queued-Awaiting Assignment;06.06.2011-10:57:46;A2_1;Org line C
13;Accepted-In Progress;06.06.2011-11:23:05;A2_1;Org line C
13;Accepted-Wait - User;06.06.2011-11:25:31;A2_1;Org line C
13;Queued-Awaiting Assignment;07.06.2011-14:31:26;Dummy;Org line V7
13;Queued-Awaiting Assignment;07.06.2011-14:31:27;Dummy;Org line V7
13;Accepted-In Progress;07.06.2011-17:40:40;Dummy;Org line V7
13;Accepted-Wait;07.06.2011-17:40:42;Dummy;Org line V7
13;Accepted-In Progress;06.07.2011-14:45:09;A2_1;Org line C
13;Completed-Resolved;06.07.2011-14:45:50;A2_1;Org line C
13;Queued-Awaiting Assignment;06.07.2011-16:35:36;A2_1;Org line C
13;Accepted-In Progress;06.07.2011-16:51:44;A2_1;Org line C
13;Queued-Awaiting Assignment;06.07.2011-16:53:49;A2_1;Org line A2
13;Accepted-In Progress;06.07.2011-16:53:53;A2_1;Org line C
13;Queued-Awaiting Assignment;06.07.2011-16:54:21;Dummy;Org line V7n
13;Accepted-In Progress;07.07.2011-07:54:32;Dummy;Org line V7n
13;Accepted-Assigned;07.07.2011-08:12:26;Dummy;Org line V7n
13;Accepted-In Progress;07.07.2011-13:25:52;Dummy;Org line V7n
13;Queued-Awaiting Assignment;07.07.2011-13:25:59;A2_1;Org line C
13;Accepted-In Progress;07.07.2011-13:26:47;A2_1;Org line C
13;Accepted-Assigned;07.07.2011-13:27:57;A2_1;Org line C
13;Accepted-In Progress;07.07.2011-14:49:37;A2_1;Org line C
13;Accepted-Wait - User;07.07.2011-14:58:09;A2_1;Org line C
13;Queued-Awaiting Assignment;08.07.2011-11:31:55;Dummy;Org line V7n
13;Accepted-In Progress;08.07.2011-12:16:14;Dummy;Org line V7n
13;Queued-Awaiting Assignment;08.07.2011-12:17:18;A2_1;Org line C
13;Accepted-In Progress;08.07.2011-12:17:21;Dummy;Org line V7n
13;Accepted-Assigned;08.07.2011-12:17:25;Dummy;Org line V7n
